Item,Price
DELL Latitude Laptop 14.1” HD Intel Core 2GHz 4GB RAM 160GB HDD DVDRW Windows 10,$124.99
DELL LAPTOP LATiTUDE WINDOWS 10 CORE 2 DUO 4GB RAM WIN DVD WIFI PC HD COMPUTER,$133.00
"Dell Latitude Gaming Laptop  15.6"" HD LED Intel Core i5 8GB RAM 512GB SSD HDMI",$378.99
"Dell Latitude Laptop 15.6"" Intel i5 2TB SSD 16GB RAM  WiFI HDMI + Win 10 Pro",$228.00 to $689.00
DELL Latitude Laptop Windows 10 Intel Core 2 Duo DVD WiFi Notebook HD Computer,$114.99
,$309.99
,$89.99
,$368.95
,$559.99
,$89.99
,$364.99
,$185.00
,$54.44
,$269.99
Dell Latitude Business Gaming Laptop 15.6 inch HD Intel Core i5 16GB RAM 2TB SSD,$266.00 to $642.00
Dell Gaming laptop Intel Core i5 2.70GHz  8GB RAM 500GB HDD Windows 10 64 BIT,$289.00
,$169.99
,$244.44
,$257.74
,$259.95 to $275.95
